iter	Passed	Remaining
0	76	7561
1	89	4372
2	101	3296
3	114	2744
4	128	2449
5	143	2250
6	158	2108
7	172	1988
8	186	1883
9	200	1800
10	214	1736
11	228	1673
12	242	1623
13	256	1574
14	270	1530
15	281	1480
16	294	1439
17	307	1400
18	320	1368
19	333	1335
20	346	1302
21	359	1274
22	371	1244
23	385	1219
24	398	1196
25	412	1174
26	424	1148
27	437	1124
28	450	1102
29	463	1082
30	477	1062
31	492	1047
32	506	1027
33	519	1007
34	532	989
35	548	975
36	566	963
37	580	947
38	595	930
39	609	913
40	622	896
41	637	879
42	652	864
43	669	852
44	684	836
45	698	820
46	713	804
47	727	788
48	743	773
49	758	758
50	774	743
51	787	727
52	800	710
53	813	693
54	826	676
55	841	660
56	855	645
57	869	629
58	883	613
59	896	597
60	910	582
61	926	567
62	939	551
63	952	535
64	965	520
65	979	504
66	993	489
67	1008	474
68	1023	459
69	1036	444
70	1049	428
71	1062	413
72	1074	397
73	1089	382
74	1101	367
75	1112	351
76	1124	335
77	1138	321
78	1151	306
79	1164	291
80	1177	276
81	1190	261
82	1201	246
83	1213	231
84	1226	216
85	1239	201
86	1252	187
87	1265	172
88	1278	158
89	1291	143
90	1303	128
91	1316	114
92	1329	100
93	1342	85
94	1356	71
95	1370	57
96	1382	42
97	1395	28
98	1407	14
99	1418	0
