Файл,Предсказание,Уверенность,Нейросети,Традиционные,Всего голосов
268.wav,Робот,83.9%,0/0,0/1,0/4
328.wav,Робот,82.7%,0/0,0/1,1/3
358.wav,Робот,81.0%,0/0,0/1,1/3
388.wav,Робот,86.0%,0/0,0/1,1/3
418.wav,Робот,84.3%,0/0,0/1,1/3
448.wav,Робот,83.8%,0/0,0/1,1/3
478.wav,Робот,84.6%,0/0,0/1,1/3
508.wav,Робот,83.0%,0/0,0/1,1/3
538.wav,Робот,84.7%,0/0,0/1,0/4
568.wav,Робот,84.7%,0/0,0/1,0/4
598.wav,Робот,85.4%,0/0,0/1,1/3
628.wav,Робот,85.9%,0/0,0/1,0/4
google_google_co.uk_00002_noise_cafe_snr14.wav,Робот,92.1%,0/0,0/1,0/4
google_google_co.uk_00002_noise_pink_snr18.wav,Робот,74.3%,0/0,0/1,0/4
google_google_co.uk_00002_noise_street_snr7.wav,Робот,78.1%,0/0,0/1,1/3
google_google_co.uk_00002_noise_white_snr8.wav,Человек,76.7%,0/0,1/1,3/1
google_google_co.uk_00002_phone.wav,Робот,88.5%,0/0,0/1,0/4
google_google_co.uk_00005_noise_cafe_snr15.wav,Робот,90.7%,0/0,0/1,0/4
google_google_co.uk_00005_noise_pink_snr7.wav,Робот,89.5%,0/0,0/1,1/3
google_google_co.uk_00005_noise_street_snr7.wav,Робот,90.3%,0/0,0/1,1/3
google_google_co.uk_00005_noise_white_snr16.wav,Робот,94.0%,0/0,0/1,0/4
google_google_co.uk_00005_phone.wav,Робот,90.8%,0/0,0/1,0/4
google_google_co.uk_00008_noise_cafe_snr10.wav,Робот,87.9%,0/0,0/1,0/4
google_google_co.uk_00008_noise_pink_snr13.wav,Робот,91.7%,0/0,0/1,0/4
google_google_co.uk_00008_noise_street_snr8.wav,Робот,88.0%,0/0,0/1,0/4
google_google_co.uk_00008_noise_white_snr18.wav,Робот,96.9%,0/0,0/1,0/4
google_google_co.uk_00008_phone.wav,Робот,94.3%,0/0,0/1,0/4
google_google_co.uk_00011_noise_cafe_snr10.wav,Робот,77.7%,0/0,0/1,1/3
