Файл,Предсказание,Уверенность,Нейросети,Традиционные
google_google_co.uk_00002_noise_cafe_snr14.wav,Робот,92.1%,-,0/4
google_google_co.uk_00002_noise_pink_snr18.wav,Робот,74.3%,-,0/4
google_google_co.uk_00002_noise_street_snr7.wav,Робот,78.1%,-,1/4
google_google_co.uk_00002_noise_white_snr8.wav,Человек,76.7%,-,3/4
google_google_co.uk_00002_phone.wav,Робот,88.5%,-,0/4
google_google_co.uk_00005_noise_cafe_snr15.wav,Робот,90.7%,-,0/4
google_google_co.uk_00005_noise_pink_snr7.wav,Робот,89.5%,-,1/4
google_google_co.uk_00005_noise_street_snr7.wav,Робот,90.3%,-,1/4
google_google_co.uk_00005_noise_white_snr16.wav,Робот,94.0%,-,0/4
google_google_co.uk_00005_phone.wav,Робот,90.8%,-,0/4
google_google_co.uk_00008_noise_cafe_snr10.wav,Робот,87.9%,-,0/4
google_google_co.uk_00008_noise_pink_snr13.wav,Робот,91.7%,-,0/4
google_google_co.uk_00008_noise_street_snr8.wav,Робот,88.0%,-,0/4
google_google_co.uk_00008_noise_white_snr18.wav,Робот,96.9%,-,0/4
google_google_co.uk_00008_phone.wav,Робот,94.3%,-,0/4
google_google_co.uk_00011_noise_cafe_snr10.wav,Робот,77.7%,-,1/4
google_google_co.uk_00011_noise_pink_snr13.wav,Человек,86.0%,-,4/4
