Файл,Предсказание,Уверенность
0009ba3f7656ffcbf62fd9918043a7cb_noise_cafe_snr9.wav,Человек,61.2%
0009ba3f7656ffcbf62fd9918043a7cb_noise_pink_snr14.wav,Человек,61.0%
0009ba3f7656ffcbf62fd9918043a7cb_noise_street_snr17.wav,Человек,66.9%
0009ba3f7656ffcbf62fd9918043a7cb_noise_white_snr7.wav,Человек,62.7%
0009ba3f7656ffcbf62fd9918043a7cb_phone.wav,Человек,65.7%
0014512f112889369164b44eea32ad96_noise_cafe_snr13.wav,Человек,82.1%
0014512f112889369164b44eea32ad96_noise_pink_snr10.wav,Человек,77.0%
0014512f112889369164b44eea32ad96_noise_street_snr10.wav,Человек,78.9%
0014512f112889369164b44eea32ad96_noise_white_snr11.wav,Человек,80.3%
0014512f112889369164b44eea32ad96_phone.wav,Человек,76.3%
002386c189efebd24e137289277ccb0f_noise_cafe_snr16.wav,Человек,90.7%
002386c189efebd24e137289277ccb0f_noise_pink_snr16.wav,Человек,91.3%
002386c189efebd24e137289277ccb0f_noise_street_snr12.wav,Человек,91.2%
002386c189efebd24e137289277ccb0f_noise_white_snr12.wav,Человек,91.3%
002386c189efebd24e137289277ccb0f_phone.wav,Человек,91.1%
002977c52ba82e67bac97423804b955b_noise_cafe_snr6.wav,Человек,78.7%
002977c52ba82e67bac97423804b955b_noise_pink_snr10.wav,Человек,61.2%
