model,accuracy,precision_human,recall_human,f1_human,precision_robot,recall_robot,f1_robot,confusion_matrix,robot_f1,device,class_weights
CatBoost,0.9831565814098565,0.9851250845165652,0.9874618773297187,0.9862920968014892,0.9800108049702864,0.976318622174381,0.9781612294418981,"[[2914, 37], [44, 1814]]",,,
XGBoost,0.9814930338947806,0.9821428571428571,0.9878007455099966,0.9849636762966717,0.9804454101032047,0.9714747039827771,0.9759394430927277,"[[2915, 36], [53, 1805]]",,,
RandomForest,0.9667290496984821,0.9598023064250412,0.9871230091494408,0.9732709655863682,0.9785794813979707,0.9343379978471474,0.9559471365638766,"[[2913, 38], [122, 1736]]",,,
Hybrid,0.950509461426492,0.9734729493891797,0.9451033547949848,0.9590784044016506,0.9166666666666666,0.9590958019375673,0.9374013677012099,"[[2789, 162], [76, 1782]]",0.9374013677012099,cuda:0,
Torch_hybrid,0.9355491329479769,0.9826610049539986,0.9410369366316503,0.9613986498182447,0.7255520504731862,0.9037328094302554,0.8048993875765529,"[[2777, 174], [49, 460]]",0.8048993875765529,cuda:0,"[0.5862807756554579, 3.397516835016835]"
LogisticRegression,0.9317945518818881,0.9483760683760684,0.9400203320908167,0.9441797140912185,0.9060509554140127,0.918729817007535,0.9123463388562266,"[[2774, 177], [151, 1707]]",,,
Torch_lstm,0.9132947976878613,0.9649245878639074,0.9322263639444256,0.9482936918304034,0.6715927750410509,0.8035363457760314,0.7316636851520573,"[[2751, 200], [100, 409]]",0.7316636851520573,cuda:0,"[0.5862807756554579, 3.397516835016835]"
CNN,0.9030983572468289,0.8965847430577721,0.9518807184005422,0.923405654174885,0.9152744630071599,0.8256189451022605,0.8681380871533673,"[[2809, 142], [324, 1534]]",0.8681380871533673,,
Torch_cnn,0.8528901734104046,0.8528901734104046,1.0,0.9206052097956637,0.0,0.0,0.0,"[[2951, 0], [509, 0]]",0.0,cuda:0,"[0.5862807756554579, 3.397516835016835]"
LSTM,0.6136410896236224,0.6136410896236224,1.0,0.7605670103092783,0.0,0.0,0.0,"[[2951, 0], [1858, 0]]",0.0,,
